mode;code;name;latitude;longitude;services
3;PI1017;Avenida El Descanso Esq Longitudinal;-33.46999505;-70.74778933;I20
3;PI1018;Antonio Varas Esq Parque El Golf Norte;-33.46693844;-70.75541052;I20
3;PI1019;Antonio Varas Esq Av El Descanso;-33.46952099;-70.75580693;I20
3;PI102;Parada Crs Maipú;-33.50906846;-70.77202103;108-109-118-348-350-350c-I03-I05-I09-I09c-I18-I24
3;PI1020;Avenida El Descanso Esq Anita Lizana;-33.4698945;-70.75363013;I20
3;PI1021;Avenida El Descanso Esq Longitudinal;-33.47006568;-70.74981368;I20
3;PI1022;Avenida El Descanso Esq Longitudinal;-33.47011414;-70.74829746;I20
3;PI1023;Parada 4 Paradero 8 Pajaritos;-33.47233776;-70.73831327;I20
3;PI1024;Parada 4 (M) Las Parcelas;-33.47522481;-70.74079215;404-404c-I07-I20
3;PI1025;Avenida 3 Poniente Esq Las Basas;-33.51086808;-70.77921662;I07-I09e
3;PI1027;La Galaxia Esq Sen María De La Cruz;-33.51090282;-70.79431021;I07
3;PI1028;La Galaxia Esq José M Borgoño;-33.50921586;-70.79497511;I07
3;PI103;Camino A Rinconada Esq Av De La Victoria;-33.50919329;-70.76896629;108-109-118-348-350-350c-I03-I05-I09-I09c-I12-I18-I24
3;PI1030;José Manuel Borgoño Esq Antofagasta;-33.5094441;-70.7966484;I07-I18
3;PI1031;José Manuel Borgoño Esq Av El Conquistador;-33.50995861;-70.79847834;I07-I18
3;PI1032;Avenida El Rosal Esq Yerbas Buenas;-33.48833376;-70.77219043;I02-I08
3;PI1033;Avenida El Rosal Esq Victoria De Abril;-33.48688313;-70.76957792;I02-I08
3;PI1034;Avenida El Rosal Esq Fiestas Patrias;-33.48533405;-70.76690969;I02-I08
3;PI1035;Cord De Los Andes Esq Génesis;-33.48730274;-70.76734788;I22
3;PI1036;Cord De Los Andes Esq Campo De Batalla;-33.48830623;-70.76906875;I22
3;PI1037;La Sinfonía Esq Teatro Alameda;-33.49007748;-70.76754418;I08
3;PI1038;La Sinfonía Esq Jorge Alessandri;-33.48917921;-70.76286572;I08
3;PI1039;La Ópera Esq Cuarta Sinfonía;-33.48861128;-70.75777428;I08-I08c
3;PI1040;La Ópera Esq Novena Sinfonía ;-33.487745;-70.75590564;I08-I08c
3;PI1041;Arturo Aldunate P Esq Nazca;-33.48546235;-70.75407304;I08-I08c
3;PI1042;Parada 2 (M) Las Rejas;-33.45738778;-70.70506069;510-516-I08-I09-I09c-I09e
3;PI1049;La Sinfonía Esq Arqto G Mardones;-33.48962264;-70.76655553;I08
3;PI105;Parada 1 Templo Votivo;-33.51077015;-70.76209784;108-109-118-348-350-350c-423-I01-I03-I05-I09-I09c-I10-I12-I18-I24
3;PI1050;La Sinfonía Esq Teatro Municipal;-33.49057549;-70.76929787;I08
3;PI1051;Cord De Los Andes Esq Victoria De Abril;-33.48819394;-70.76872206;I22
3;PI1052;Cord De Los Andes Esq Fiestas Patrias;-33.48655684;-70.76590135;I22
3;PI106;Parada 8 (M) Plaza De Maipú;-33.5106458;-70.75624977;108-109-118-423
3;PI1062;Primera Transversal Esq Blanco Encalda;-33.50797041;-70.75285858;I10
3;PI1063;Primera Transversal Esq 1 Sur ;-33.50572695;-70.75271645;I10
3;PI1064;Primera Transversal Esq Los Heroes;-33.50236983;-70.75225049;I10
3;PI1065;Primera Transversal Esq Av Pérez Llona;-33.50047078;-70.75198617;I10
3;PI1066;Primera Transversal Esq Benjamin Franklin;-33.4979145;-70.75164404;I10
3;PI1067;Yelcho Esq Las Estepas;-33.47147035;-70.71448296;I10
3;PI1068;Yelcho Esq Av Aeropuerto;-33.47191294;-70.71182306;I10
3;PI1069;Yelcho Esq Palena;-33.47262247;-70.70745742;385-I10
3;PI1070;Palena Esq Colu;-33.4704778;-70.70668363;385-I10
3;PI1071;Río Quetro Esq Pasaje Quillagua;-33.46875479;-70.7060688;385-I10
3;PI1072;Río Quetro Esq Av Las Rejas Sur;-33.46877048;-70.70492853;385-I10
3;PI1073;Constantino Esq Porto Seguro;-33.44810345;-70.69619751;I10-J10
3;PI1074;Parada Liceo Iasura Dinator;-33.4470874;-70.67941743;I10-I17
3;PI1075;Parada 9 (M) Estación Central;-33.45037383;-70.67913654;313e-I10-I17
3;PI1076;Avenida Ecuador Esq Ob Manuel Umaña;-33.45081136;-70.68543842;385-I10-I17
3;PI1077;Avenida Ecuador Esq Ruiz Tagle;-33.45072911;-70.68816937;385-I10-I16-I17
3;PI1078;Avenida Ecuador Esq Francisco Javier;-33.45184628;-70.69353782;I10
3;PI1079;Avenida Ecuador Esq Benedicto Xv;-33.45330596;-70.69890233;102-481-511-I03-I03c-I10-J13
3;PI1080;Avenida Ecuador Esq Radal;-33.4541303;-70.70126374;102-481-511-I03-I03c-I10-J13
