stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
PI-96,147,Tucapel / Gonzalo Cerda,Paradero Informal 96,-18.47674824,-70.29217859,,,0,,,0
PI-94,140,Tucapel / Juan Riveros,Paradero Informal 94,-18.47842817,-70.29333758,,,0,,,0
PI-93,45,Joaquin Aracena / Libertad,Paradero Informal 93,-18.47731458,-70.29021392,,,0,,,0
PFA-126,432,Alfonso Nespolo Arata / Tobalaba,Paradero Formal Antiguo 126,-18.49917921,-70.2989033,,,0,,,0
PI-92,58,Esteban Ríos / Raúl Araya,Paradero Informal 92,-18.473928,-70.28644539,,,0,,,0
PFA-125,431,Alfonso Nespolo Arata / La Florida,Paradero Formal Antiguo 125,-18.49830827,-70.29950462,,,0,,,0
PI-90,86,Las Acacias / Esteban Rios,Paradero Informal 90,-18.47544043,-70.28427134,,,0,,,0
PI-138,31,Alejandro Azolas / Los Artesanos,Paradero Informal 138,-18.45781575,-70.28517555,,,0,,,0
PI-139,131,Canteras / Alejandro Azolas,Paradero Informal 139,-18.45734392,-70.28228014,,,0,,,0
PI-136,181,Linderos / El Tofo,Paradero Informal 136,-18.46002055,-70.28356252,,,0,,,0
PI-137,133,Canteras / El Til til,Paradero Informal 137,-18.4598727,-70.28216695,,,0,,,0
PI-177,158,Linderos / Tomé,Paradero Informal 177,-18.43546108,-70.28757893,,,0,,,0
PI-176,149,Linderos / Tomé,Paradero Informal 176,-18.43521362,-70.28795499,,,0,,,0
PI-172,172,Diaguitas / Cesfam Norte,Paradero Informal 172,-18.4276301,-70.29048821,,,0,,,0
PI-175,157,Linderos / Villarrica,Paradero Informal 175,-18.43356962,-70.28822273,,,0,,,0
PI-62,37,Santa Maria / José Victorino  Lastarria,Paradero Informal 62,-18.47732183,-70.31070027,,,0,,,0
PI-63,75,Santa Maria / José Victorino Lastarrias,Paradero Informal 63,-18.47725644,-70.3104081,,,0,,,0
PI-64,12,Santa Maria / Luis Vicentini,Paradero Informal 64,-18.47621041,-70.30944328,,,0,,,0
PI-171,215,Robinson Rojas / Mejillones,Paradero Informal 171,-18.43178172,-70.29135213,,,0,,,0
PI-65,107,Senador Luis Valente Rossi / Carlos Dittborn,Paradero Informal 65,-18.49029132,-70.30166211,,,0,,,0
PI-66,161,Gral. Velasquez / UTA Campus Velasquez,Paradero Informal 66,-18.47162486,-70.3118619,,,0,,,0
PI-67,340,Juan Manuel Borgoño / Antofagasta,Paradero Informal 67,-18.48731977,-70.30313774,,,0,,,0
PI-68,341,Senador Luis Valente Rossi / Lupica,Paradero Informal 68,-18.48987914,-70.30336515,,,0,,,0
