iLat;iLon;stops;services;route_segments;puntos
19;25;N-301|N-302;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
19;26;N-303|N-304;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
19;27;;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
20;7;N-151;AC_I|AC_R|AY1_R|A_I|A_R|C_I|C_R|M_I|M_R|T_I|T_R|ZY1_R|Z_I|Z_R;6-7|40-41|20-21|6-7|36-37|6-7-9-10|49-50-52-53|8-9|17-18|10-11|28-29|21-22|4-5|26-27;
20;8;N-163|N-166|N-172|N-186|PR-304;AC_I|AC_R|AY1_R|A_I|A_R|C_I|C_R|FY1_R|F_I|F_R|M_I|M_R|T_I|T_R|ZY1_R|Z_I|Z_R;5-6|41-42|21-22|5-6|37-38|7-8-9|50-51-52|15|3|30|7-8|18-19|6-7-8-9-10|29-30-31-32-33|22-23|3-4|27-28;
20;9;N-215|N-217;D_I|D_R|E_I|E_R|F_I;7|7|7|16|3;
20;10;N-238|P-176;B_I|B_R;7|16;
20;11;N-244|N-260|P-134;B_I|B_R|D_I|D_R|E_I|FY1_I|F_I|F_R|M_I|X_I|X_R;6|17|6|8|6|14|23|6|6|6-7|30-31;
20;12;N-259|P-132|P-133;B_I|B_R|D_I|D_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|X_I|X_R;4-5-6|17-18-19|4-5-6|8-9-10|4-5-6|19|14-15|23-24|5-6|4-5-6|24|4-5-6|31-32-33;
20;13;P-129|P-131|PR-130;B_I|B_R|D_I|D_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|X_I|X_R;1-2-3-4|19-20-21-22|1-2-3-4|10-11-12-13|1-2-3-4|19-20-21-22|15-16-17-18|24-25-26-27|2-3-4-5|1-2-3-4|24-25-26-27|1-2-3-4|33-34-35-36;
20;27;N-305|N-306;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
20;28;;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;0|23|0|14|0|23|0|28|0|37;
