stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1491,,Del Salvador / Santa Rosa,,-41.318095,-72.984071,71,,0,
1492,,Terminal De Puerto Chico,,-41.329411,-72.972433,,,0,
1493,,San Bernardo / Walker Martinez,,-41.316426,-72.98575,,,0,
1494,,Ruta 5 Sur / Empresas De Transporte J. Bustamante,,-41.37996,-72.969467,,,0,
1495,,Panamericana Norte / Pasaje Tres,,-41.458122,-72.954739,,,0,
1496,,Ruta 5 Sur / Regimiento Sangra,,-41.398725,-72.95984,,,0,
1497,,Ruta 5 Sur / Regimiento Sangra,,-41.398846,-72.960318,,,0,
1498,,Terminal Municipal De Buses Puerto Montt,Diego Portales / Eusebio Lilo,-41.477348,-72.950419,53,,0,
1501,,Avenida Presidente Salvador Allende / Avenida Parque Industrial,,-41.461181,-72.954643,,,0,
1502,,Panamericana Sur / Pasaje Tres,,-41.458334,-72.95436,,,0,
1503,,Panamericana Norte / Canal Beagle,,-41.455911,-72.954519,,,0,
1504,,Ruta 5 Sur / Empresas De Transporte J. Bustamante,,-41.379885,-72.96865,,,0,
1505,,Ruta 5 Sur / Empresas De Transporte J. Bustamante,,-41.37996,-72.969467,,,0,
1506,,San Francisco / Colón,,-41.32419,-72.985426,,,0,
1507,,Del Salvador / Santa Rosa,,-41.318095,-72.984071,55,,0,
1508,,San Bernardo / Walker Martinez,,-41.316426,-72.98575,,,0,
1509,,Gramado / San Bernardo,,-41.317021,-72.986248,,,0,
1510,,Gramado / Lago Llanquihue,,-41.317663,-72.995455,,,0,
1513,,Ruta 5 Sur / Pellines,,-41.192312,-73.069492,,,0,
1514,,Ruta 5 Sur / Pellines,,-41.191585,-73.069505,,,0,
1515,,Ruta V - 55 - U,,-41.117613,-73.055823,,,0,
1516,,Terminal Frutillar,,-41.124758,-73.060268,58,,0,
1517,,Terminal Thaebus,,-41.137447,-73.027741,58,,0,
1518,,Saltos Del Petrohue,,-41.172694,-72.450457,61,,0,
1519,,Lago De Todos Los Santos,,-41.138403,-72.401297,62,,0,
1520,"",Ensenada,"",-41.212142,-72.543447,60,"",0,
1521,"",Ensenada,"",-41.212218,-72.543344,60,"",0,
1522,,Vicente Pérez Rosales,Fabrica Cecinas Llanquihue,-41.2685,-73.001348,,,0,
1523,,Vicente Pérez Rosales / Avenida Presidente Jorge Alessandri,"",-41.261851,-73.001493,,,0,
1524,,Vicente Pérez Rosales / Regidor Gerado Werner,"",-41.2568,-73.005461,,,0,
1525,,Vicente Pérez Rosales / Llanquihue,,-41.258159,-73.005493,56,,0,
1526,,Vicente Pérez Rosales / Avenida Presidente Jorge Alessandri,"",-41.261593,-73.001842,,,0,
1527,,Vicente Pérez Rosales,Fabrica Cecinas Llanquihue,-41.268822,-73.001539,,,0,
1528,,Terminal De Buses Osorno,,-40.572978,-73.125653,72,,0,
1529,,Terminal Cruz Del Sur,Pdte. Salvador Allende,-41.462967,-72.954079,,,0,
1543,,Avenida Transversal Uno / Quillagua,Kimul,-41.4025480118758,-72.9112868098564,,,0,
1544,,Arturo Pacheco Altamirano / Avenida Transversal 3,,-41.386678,-72.896524,,,0,
1545,,O´Higgins / Pasaje Lago Ranco,Riachuelo,-41.3911296331502,-72.9007470552253,,,0,
1546,,Avenida Diego Portales / Chillán,Chillan,-41.473811,-72.944365,,,0,
1547,,Cuyen / Huayun,Cuyen,-41.4545777639415,-72.9418565595245,,,0,
1548,,Arturo Pacheco Altamirano / Carlos Isamitt A,Mori,-41.3815408121164,-72.8993015595245,,,0,
1549,,Avenida Norte Sur 2 / Avenida Los Alerces,,-41.3966327467765,-72.9047005975532,,,0,
1550,,Supermercado Lider,,-41.460718,-72.950378,,,0,
1551,,Avenida Parque Industrial / Pasaje Los Melis,,-41.4606723022851,-72.9524513029022,,,0,
1552,,Gabriela Mistral / Los Mañios,G. Mistral,-41.3838515890347,-72.9206550085983,,,0,
