service;origin;destiny;color
F13c;BAJOS DE MENA;(M) PLAZA PUENTE ALTO;FFD400
F14;VILLA PADRE HURTADO;(M) PLAZA PUENTE ALTO;FFD400
F15;BAJOS DE MENA;(M) ELISA CORREA;FFD400
F16;VILLA PADRE HURTADO;RIVERA RIO MAIPO;FFD400
F18;VILLA CHILOé;(M) PLAZA PUENTE ALTO;FFD400
F19;PIE ANDINO;MALL PLAZA TOBALABA;FFD400
F20;(M) LA CISTERNA;PIE ANDINO;FFD400
F23;VILLA PADRE HURTADO;MALL PLAZA TOBALABA;FFD400
F24;CASAS VIEJAS; (M) ELISA CORREA;FFD400
F25;BAJOS DE MENA;(M) BELLAVISTA DE LA FLORIDA;FFD400
F25e;BAJOS DE MENA;(M) BELLAVISTA DE LA FLORIDA;FFD400
F26;VILLA PADRE HURTADO;SAN CARLOS ORIENTE;FFD400
F27;VILLA PADRE HURTADO;VILLA PORTEZUELO ORIENTE;FFD400
