punto_id;punto_name;punto_lat;punto_lon
1882;LOS NIÑITOS;-33.432701;-70.73999
1883;SEÑORA CARMEN;-33.370995;-70.715225
1884;LEONOR;-33.411469;-70.656075
1885;MAR Y JAM;-33.417675;-70.659242
1886;PUNTO TABACO;-33.42255;-70.662178
1887;SENY;-33.582378;-70.653564
1888;LOS AMANTES;-33.589882;-70.611176
1889;ELIZABETH;-33.374843;-70.663478
1890;CHAVEZ;-33.458213;-70.643964
1891;CHUMA;-33.367252;-70.745232
1892;JANY;-33.452552;-70.529405
1893;KATU Y PALY;-33.609505;-70.572922
1894;FREEDOM EL GRAN BAZAR;-33.58865;-70.601303
1895;LOS HELECHOS;-33.557247;-70.785071
1896;FERNANDA Y ALONSO;-33.596199;-70.600769
1897;DON PAN;-33.582449;-70.634653
1898;EL BETO;-33.513282;-70.623209
1899;DULCE AMOR;-33.522316;-70.562846
1900;DONDE EL FILO;-33.55441;-70.649963
1901;EL RETORNO DE DON GATO;-33.525971;-70.782031
1902;BELINDA;-33.451478;-70.624688
1903;EL SHURDITO;-33.461954;-70.655239
1904;EL OJO;-33.502654;-70.734225
1905;IRLANDA;-33.58625;-70.601601
1906;TIENDA UPA!-SHELL  (F.117);-33.450023;-70.605223
1907;ALMACEN ALICIA CALDERON;-33.37325865;-70.64501438
1908;DON PRIMO;-33.503723;-70.632751
1909;VALENTINA;-33.377705;-70.72761
1910;KIOSCO MARIA;-33.449142;-70.668343
1911;GAVIOTA;-33.47979258;-70.56651242
1912;MI VIEJO MANUEL;-33.490753;-70.628052
1913;DONDE LA ANDREA;-33.421146;-70.745452
1914; TRIUNFO II;-33.558823;-70.602165
1915;KREMA Y CANELA;-33.463198;-70.647165
1916;HAYDN;-33.484465;-70.624371
1917;LEON MOYON;-33.462427;-70.69218
1918;VIVIANA ;-33.541581;-70.636736
1919;SUSANA;-33.408632;-70.737019
1920;MAMI ROSA;-33.474839;-70.579497
1921;ANGEL MARQUINA;-33.436419;-70.747451
1922;KIOSCO;-33.492352;-70.599949
1923;LAS DELICIAS;-33.607981;-70.697845
1924;EL BOLICHE;-33.602486;-70.558834
1925;CARLOS MOYA;-33.580049;-70.601745
1926;MATIAS Y CARLOS;-33.625612;-70.596021
1927;ALGO TENGO;-33.596373;-70.557895
1928;CSOTO;-33.580385;-70.646183
1929;RENACER;-33.50015731;-70.62781349
1930;ARICA;-33.572408;-70.583347
1931;KA Y TA;-33.603829;-70.626081
1932;EL MOLINO;-33.386495;-70.817027
1933;RED BUTTON;-33.45483483;-70.58137045
1934; DONDE JUANITO;-33.467651;-70.546645
1935;LA BENDICION;-33.467325;-70.529677
1936;LOS TRES A;-33.502377;-70.736113
1937;LA TOMATERA;-33.494;-70.590487
1938;AIDA;-33.467777;-70.614623
1939;P Y K;-33.544493;-70.653618
1940;TODO PERFUMES;-33.510818;-70.756348
1941;ZEUS;-33.401466;-70.745865
1942;SHARLOM;-33.426594;-70.731658
1943;LA PALMERA;-33.459067;-70.531247
1944;CARDAJO;-33.587379;-70.641815
1945;YING Y YANG;-33.453272;-70.650256
1946;MATIAS SPA;-33.62075342;-70.61252451
1947;Y C V;-33.57641613;-70.60399789
1948;MARIANA ZUÑIGA;-33.47455677;-70.58079287
1949;LU.KA Y TIO ALE;-33.361004;-70.755775
1950;EL GUTI;-33.358452;-70.737366
1951;ORINOCO LTDA.;-33.479595;-70.64782
1952;BARBARITA;-33.486852;-70.66387
1953;DON TITO;-33.499828;-70.721016
1954;REMI;-33.534023;-70.771568
1955;DONDE IVAN;-33.408882;-70.676453
1956;BUEN DIA;-33.520203;-70.582657
1957;MARIA GARRIDO;-33.361938;-70.750336
1958;AMASANDERIA NINA;-33.526134;-70.780602
1959;ROSMERY GUARNIZ;-33.414104;-70.66613
1960;BAZAR Y LIBRERÍA MAFALDA;-33.515198;-70.763351
1961;SARDICH IN FAMILY;-33.4179;-70.717941
1962;CONFITERIA SANTIS SPA;-33.45480243;-70.60484396
1963;ANDREA ROJAS;-33.409752;-70.632263
1964;PALOMITA;-33.533344;-70.649384
1965;RUTH MEYER ;-33.479221;-70.720848
1966;LA ESPERANZA;-33.51817614;-70.78476547
1967;VIRSI;-33.475548;-70.644684
1968;ELECTRIC HOME;-33.438194;-70.606888
1969;ROMAN SIGUENZA (S);-33.45467;-70.6922
1970;LA RESURRECCION;-33.362137;-70.747734
1971;DONDE NACHITO;-33.582798;-70.62606
1972;EL PESO JUSTO;-33.580204;-70.602814
1973;LA ESKINA DE LA OFERTA;-33.526257;-70.557663
1974;LUIS VIZCARRA;-33.445126;-70.657722
1975;FLOR DORADA (C);-33.41136807;-70.7177948
1976;ALMACEN DAYANITA I (C);-33.453632;-70.639809
1977;ALMACEN MONICA (C);-33.468983;-70.55999
1978;EL MONO (C);-33.461029;-70.63205
1979;MARIA CARVAJAL (C);-33.51786;-70.6272186
1980;LA ESTRELLA;-33.475567;-70.575768
1981;FRAN Y FER;-33.507599;-70.64489
1982;COMERCIAL MARANATHA;-33.380236;-70.682487
1983;LA ESQUINA D ELA BENDICION;-33.587929;-70.681152
1984;LA FAMILIA;-33.558756;-70.611381
1985;RUBENCIAO;-33.464691;-70.753975
1986;TERESA VENEGAS;-33.420727;-70.537201
1987;EL COTELO;-33.586952;-70.641495
1988;FRANCO;-33.560891;-70.653667
1989;MARY;-33.57907489;-70.64714355
1990;F Y D;-33.503475;-70.630852
1991;LA PELU;-33.628876;-70.607803
1992;KIOSQUITO FERNATO;-33.608448;-70.582201
1993;MINIMARKET ANGELICA;-33.480602;-70.629921
1994;KIOSCO;-33.468948;-70.598358
1995;JOVY;-33.46513908;-70.62011471
1996;LOS TRES HERMANOS;-33.438261;-70.661191
1997;MINIMARKET HNOS BASILIO (C);-33.461146;-70.647256
1998;MARTHITA;-33.46537;-70.714953
1999;KIOSKO AMIGO;-33.425265;-70.61324
2000;ORLANDO ROJAS CRUZADO (C);-33.466251;-70.65152
2001;DISPENSA MARINA;-33.460855;-70.855954
2002;ROCI;-33.58875064;-70.55265038
2003;CATALINA CRUZ PEÑALOZA;-33.535566;-70.593725
2004;EMPORIO;-33.581449;-70.552376
2005;ALMACEN MARTA;-33.400613;-70.680567
2006;MINIMARKET;-33.45915025;-70.62267059
2007;PUNTO AZUL (C);-33.447895;-70.649376
2008;CLAUDIA ESPINOZA;-33.531678;-70.770192
2009;NAYARI;-33.493199;-70.764405
2010;OSCAR MAYA;-33.4345742;-70.66391766
2011;MARCHANT;-33.470608;-70.700921
2012;CARMEN RITA ACEVEDO ALMENDRA;-33.436983;-70.719462
2013;BAZAR DAGHY;-33.507065;-70.745506
2014;MAGIC PC;-33.527092;-70.661324
2015;EL MOMO;-33.502277;-70.565941
2016;HILDA MARGARITA BURGOS FONSECA;-33.409447;-70.727859
2017;MINIMARKET;-33.46104541;-70.62107308
2018;FARMACIAS DONDE LORITO;-33.406284;-70.745665
2019;ALMACEN RAQUELITA;-33.401169;-70.730186
2020;TABAQUERIA ;-33.39382816;-70.64247582
2021;NENITA ;-33.52301;-70.600479
2022;CARLOS SEPULVEDA VALENZUELA ;-33.539585;-70.60894
2023;BIG 7;-33.47910629;-70.60932814
2024;JULY;-33.360045;-70.740313
2025;EL RINCON;-33.406452;-70.747787
2026;ESTADIO;-33.412548;-70.712143
2027;DON JORGE;-33.377289;-70.62178
2028;MINIMARKET NISU;-33.467484;-70.671753
2029;SERVIGAS ;-33.505862;-70.598324
2030;MONO PANDA ;-33.59656593;-70.60204932
2031;GLORIA HURTADO LIZARME;-33.43403545;-70.62682891
2032;PAOLA;-33.4421072;-70.73065715
2033;LA MIMI;-33.47179682;-70.71944994
2034;FELIPE;-33.455494;-70.762103
2035;TIA FABI;-33.589296;-70.556595
2036;ISIDORA Y JEAN;-33.388378;-70.694633
2037;LA EQUINA DE GUAGUIN;-33.591899;-70.576582
2038;ABUELI ALICIA;-33.464596;-70.711502
2039;EXITO;-33.59254;-70.565216
2040;EN REPAL;-33.446787;-70.688179
2041;ROSA PAULINA TAPIA RIVERA;-33.55365123;-70.64757699
2042;EL CURICANO;-33.44876711;-70.71522673
2043;SANTA CATALINA;-33.455396;-70.846153
2044;CRISTINA;-33.398418;-70.704422
2045;ALMACEN C Y D;-33.421379;-70.530631
2046;LA FAMILIA;-33.365468;-70.637558
2047;EL PAISA (C);-33.43997548;-70.67786753
2048;ALCIPAU ELECTRONICA Y COMPUTACION;-33.42365386;-70.61264358
2049;ALMACEN LAS CHIQUILLAS;-33.42033087;-70.7571463
2050;LAS TUCAS;-33.53167821;-70.59625509
2051;H.B.C;-33.5188298;-70.55334873
2052;COMIDA AL PASO EL TATA POLLO;-33.59264888;-70.62714212
2053;SOCIEDAD COMERCIAL ALEXZA LTDA.;-33.42592375;-70.53458134
2054;ROMAN SIGUENZA (S);-33.39170187;-70.67478431
2055;JOSE SANDOVAL ;-33.421417;-70.6607346
2056;LEO ;-33.46881947;-70.64845238
2057;CLAUDINA;-33.471215;-70.688638
2058;LAS CHIQUILLAS;-33.3322645;-70.7223462
2059;EL BOCA SECA;-33.359245;-70.721085
2060;DONDE EMILIA Y MANUEL;-33.369801;-70.679611
2061;ALMACEN SEÑORA LILI;-33.4300769;-70.5865264
2062;ANGY;-33.51899221;-70.6810582
2063;ALMACEN CARLOS;-33.51272307;-70.69682919
2064;MANUEL MUÑOZ FAMBUENA;-33.44312407;-70.64647383
2065;BASAR ISICAT;-33.49421531;-70.60658328
2066;KATY;-33.4769916;-70.5344437
2067;ANDRES;-33.591259;-70.6901
2068;ALMACEN Y BAZAR ADONAI;-33.624177;-70.689649
2069;JEANE METAYER;-33.483586;-70.664863
2070;ENREDADERAS DE ACAÑIR ;-33.512856;-70.697418
2071;COCO LISO;-33.37747418;-70.68699752
2072;EL ARRAYAN;-33.57213641;-70.57860984
2073;ENZO;-33.580334;-70.63485
2074;GEMINIS;-33.371536;-70.633881
2075;CALDERON FERNANDEZ;-33.42236489;-70.67081013
2076;SUSI REVECA CRUZ VICENTE;-33.37972467;-70.66735583
2077;J Y D;-33.448101;-70.702843
2078;EL NAUFRAGO;-33.555611;-70.643845
2079;ALMACEN ROUSE;-33.408031;-70.72818
2080;MARIA ELENA ;-33.349045;-70.746475
2081;DONDE EL RICHY;-33.475672;-70.596196
2082;NAILA CORVALAN;-33.387684;-70.671036
2083;DAMARIS;-33.4547;-70.640312
2084;CENTRO DE LLAMADOS E INTERNET;-33.465988;-70.673241
2085;MARKET PARAISO ;-33.454018;-70.654236
2086;DON QUESO;-33.57956153;-70.55571306
2087;KIOSCO ANDRES;-33.409977;-70.571594
2088;BER STORE RENCA;-33.407566;-70.70211
2089;TOYITA;-33.493679;-70.642784
2090;MARANATHA;-33.427689;-70.742813
2091;LOS GEMELOS;-33.417927;-70.535728
2092;LA NANA;-33.628498;-70.704636
2093; SUSANA;-33.467972;-70.754501
2094;EL RAFA;-33.47421397;-70.71220526
2095;DON ALONSO;-33.455624;-70.590157
2096;FLORCITA MARIA;-33.519433;-70.794184
2097;CATITA;-33.47183828;-70.55111518
2098;MAITE;-33.473141;-70.716774
2099;LAS TRES MARIAS;-33.470234;-70.570229
2100;SOCIEDAD FARMACEUTICA MAIPU LTDA.;-33.510878;-70.75477
2101;CRISTO VIENE;-33.52953644;-70.62799675
2102;ÑUÑORK MINIMARKET ;-33.44648582;-70.59874665
2103;TRANSPORTE C.C E.I.L;-33.499728;-70.662894
2104;MINIMARKET ROXANITA;-33.428576;-70.6832
2105;DULCE CAFE MARKET SPA;-33.508016;-70.653673
2106;COTTE;-33.4206915;-70.7592064
2107;ISRAEL AMERICO ROJAS AGUILAR;-33.46165364;-70.73817696
