paradero;servicio;distancia
33770;10kI;19689
33771;10kI;19935
33772;10kI;20310
33773;10kI;21179
33774;10kI;22426
33775;10kI;23725
33776;10kI;24150
33777;10kI;24532
33778;10kI;24829
33779;10kI;25076
33780;10kI;25335
33781;10kI;25602
33782;10kI;25879
33783;10kI;26113
33784;10kI;26335
33785;10kI;26613
33786;10kI;26880
33787;10kI;27020
33788;10kI;27156
37398;10kI;27396
37399;10kI;27562
36056;10kI;27683
36090;10kI;27942
36091;10kI;27981
36092;10kI;28181
36093;10kI;28275
36094;10kI;28404
33795;10kI;28782
33797;10kI;29164
33798;10kI;29614
33799;10kI;29886
33800;10kI;30386
33801;10kI;30510
33802;10kI;31065
33803;10kI;31269
33804;10kI;31593
33805;10kI;31758
33806;10kI;32083
33828;10kI;32748
33829;10kI;33357
33830;10kI;33625
33831;10kI;33965
33662;10kI;34593
33832;10kI;35120
33833;10kI;35654
33834;10kI;36252
33835;10kI;37200
33836;10kI;37356
33837;10kI;37567
33838;10kI;37948
33839;10kI;38169
33840;10kI;38678
33841;10kI;38904
33842;10kI;39249
33843;10kI;39591
33844;10kI;39756
33845;10kI;40139
33846;10kI;40478
33847;10kI;40760
33848;10kI;41139
33849;10kI;41364
33850;10kI;41780
33851;10kI;42005
33852;10kI;42412
33853;10kI;42834
33854;10kI;43043
33855;10kI;43426
33857;10kI;43832
33858;10kI;44088
33859;10kI;44171
33860;10kI;44225
32694;10lI;0
32695;10lI;247
32696;10lI;604
32494;10lI;871
32495;10lI;1161
32496;10lI;1315
32497;10lI;1613
32498;10lI;2069
42082;10lI;2627
39081;10lI;3404
32661;10lI;3795
32520;10lI;3874
32521;10lI;4060
32522;10lI;4251
32523;10lI;4634
32524;10lI;4988
32525;10lI;5204
32526;10lI;5412
32527;10lI;5614
32528;10lI;5839
32529;10lI;6341
32530;10lI;6765
32531;10lI;7077
32532;10lI;7413
32533;10lI;7739
32534;10lI;8028
32535;10lI;8483
32536;10lI;8829
32537;10lI;9187
32538;10lI;9522
32539;10lI;9798
32540;10lI;10030
33770;10lI;11110
33771;10lI;11356
33772;10lI;11731
33773;10lI;12600
33774;10lI;13847
33775;10lI;15147
33776;10lI;15571
33777;10lI;15953
33778;10lI;16251
33779;10lI;16497
