101
Las Condes,Lunes a Viernes,05:00,23:56
Las Condes,Sábado,05:00,23:48
Las Condes,Domingo y Festivos,05:00,23:56
Maipu,Sábado,06:00,00:36
Maipu,Lunes a Viernes,06:00,00:36
Maipu,Domingo y Festivos,06:30,00:48

401N

402
Mapocho,Domingo y Festivos,05:42,00:10
Mapocho,Lunes a Viernes,05:30,00:10
Mapocho,Sábado,05:30,00:10
Pudahuel,Domingo y Festivos,06:02,00:45
Pudahuel,Lunes a Viernes,06:10,00:47
Pudahuel,Sábado,06:02,00:47

403
La Reina,Lunes a Viernes,05:52,01:24
La Reina,Domingo y Festivos,05:50,01:24
La Reina,Sábado,05:40,01:24
(M) Santa Ana,Lunes a Viernes,05:15,00:52
(M) Santa Ana,Domingo y Festivos,05:30,00:54
(M) Santa Ana,Sábado,05:30,00:52

404
Mapocho,Sábado,05:30,00:38
Mapocho,Lunes a Viernes,05:30,00:38
Mapocho,Domingo y Festivos,05:30,00:30
El Descanso,Domingo y Festivos,06:00,00:45
El Descanso,Lunes a Viernes,06:00,00:52
El Descanso,Sábado,06:03,00:52

404c
(M) Las Rejas,Lunes a Viernes,06:00,08:55
(M) Las Rejas,Lunes a Viernes,17:30,19:50
El Descanso,Lunes a Viernes,07:00,08:21
El Descanso,Lunes a Viernes,17:30,21:00

405
Cantagallo,Domingo y Festivos,00:02,23:59
Cantagallo,Lunes a Viernes,00:00,23:59
Cantagallo,Sábado,00:00,23:59
Maipu,Lunes a Viernes,00:00,23:59
Maipu,Sábado,00:00,23:59
Maipu,Domingo y Festivos,00:02,23:59

405c
Vitacura,Lunes a Viernes,16:32,19:53
Vitacura,Lunes a Viernes,06:30,09:26
Plaza Italia,Lunes a Viernes,16:00,20:50
Plaza Italia,Lunes a Viernes,07:00,09:37

406
Cantagallo,Sábado,05:00,22:53
Cantagallo,Lunes a Viernes,05:00,23:50
Pudahuel,Lunes a Viernes,05:57,23:54
Pudahuel,Sábado,05:45,22:54

406c
Cantagallo,Lunes a Viernes,06:30,10:00
Cantagallo,Lunes a Viernes,16:30,20:00
Cantagallo,Sábado,06:30,22:45
(M) Escuela Militar,Lunes a Viernes,16:40,20:20
(M) Escuela Militar,Lunes a Viernes,07:00,09:20
(M) Escuela Militar,Sábado,06:53,23:15

407
Las Condes,Domingo y Festivos,05:30,23:48
Las Condes,Sábado,05:05,23:48
Las Condes,Lunes a Viernes,05:32,23:48
Enea,Lunes a Viernes,06:00,00:30
Enea,Domingo y Festivos,05:48,00:24
Enea,Sábado,05:50,00:30

408
Mapocho,Lunes a Viernes,05:30,23:45
Mapocho,Domingo y Festivos,05:30,23:40
Mapocho,Sábado,05:30,23:48
Renca,Lunes a Viernes,05:49,00:10
Renca,Domingo y Festivos,05:35,00:10
Renca,Sábado,05:50,00:10

408e

409
Plaza San Enrique,Sábado,05:30,00:20
Plaza San Enrique,Domingo y Festivos,05:30,00:20
Plaza San Enrique,Lunes a Viernes,05:39,00:20
Mapocho,Domingo y Festivos,06:00,00:40
Mapocho,Lunes a Viernes,05:58,00:50
Mapocho,Sábado,06:15,00:50

410
Providencia,Domingo y Festivos,05:30,23:50
Providencia,Lunes a Viernes,05:30,23:48
Providencia,Sábado,05:30,23:50
Renca,Lunes a Viernes,06:03,00:12
Renca,Domingo y Festivos,06:06,00:12
Renca,Sábado,05:59,00:12

410e

411
Plaza San Enrique,Lunes a Viernes,05:39,23:50
Plaza San Enrique,Sábado,05:42,23:48
Plaza San Enrique,Domingo y Festivos,05:54,23:38
Providencia,Sábado,06:00,00:20
Providencia,Lunes a Viernes,06:00,00:20
Providencia,Domingo y Festivos,05:58,00:20

412
La Reina,Domingo y Festivos,05:30,01:30
La Reina,Sábado,05:43,01:30
La Reina,Lunes a Viernes,05:30,01:30
(M) San Pablo,Sábado,04:50,00:48
(M) San Pablo,Lunes a Viernes,04:50,00:48
(M) San Pablo,Domingo y Festivos,04:50,00:48

413c
(M) Las Rejas,Lunes a Viernes,06:00,08:50
Avenida Portales,Lunes a Viernes,17:30,20:50

413v
(M) Plaza De Maipu,Lunes a Viernes,05:55,08:50
Avenida Portales,Lunes a Viernes,17:30,20:20

414e
Los Trapenses,Lunes a Viernes,05:30,08:56
(M) Pudahuel,Lunes a Viernes,17:00,20:47

415e
(M) Manquehue,Lunes a Viernes,06:08,09:20
(M) Pudahuel,Lunes a Viernes,17:30,21:00

416e
Vitacura,Lunes a Viernes,06:00,09:28
Maipu,Lunes a Viernes,17:30,20:29

417e
(M) Manquehue,Lunes a Viernes,06:00,09:28
