id;id_station_measure
2420210-Wcdma;92-93
2421408-Wcdma;36
2421409-Wcdma;36
2421528-Wcdma;36
2421672-Wcdma;37
2422489-Wcdma;96
24271-Gsm;60
24333-Gsm;59
2438025-Wcdma;68
2438030-Wcdma;69
2438089-Wcdma;72
2438163-Wcdma;66
2438230-Wcdma;68
2438253-Wcdma;65
2438255-Wcdma;65
2438393-Wcdma;66
2438395-Wcdma;66
2438398-Wcdma;66
2438443-Wcdma;71
2438449-Wcdma;71
2438783-Wcdma;69
2438784-Wcdma;69
2438786-Wcdma;69
2439683-Wcdma;69
2439686-Wcdma;69
2442406-Wcdma;65
2442416-Wcdma;65
2442426-Wcdma;68
2442496-Wcdma;69
2442536-Wcdma;67
24513-Gsm;75
245249-Lte;49
245250-Lte;49
245253-Lte;78
2453966-Wcdma;70
2453976-Wcdma;70
24591-Gsm;103
24615-Gsm;23
24616-Gsm;23
24617-Gsm;22-23
24620-Gsm;22-23
24621-Gsm;22
24622-Gsm;22
24625-Gsm;21
24626-Gsm;21
24627-Gsm;21
24631-Gsm;20
24632-Gsm;20
24635-Gsm;19
24636-Gsm;19
24637-Gsm;18-19
24640-Gsm;18
24642-Gsm;18
24653-Gsm;42-43
24654-Gsm;43-44
24655-Gsm;44
24656-Gsm;44
24657-Gsm;44-45
24658-Gsm;45
24659-Gsm;45
24660-Gsm;45
24662-Gsm;45
24663-Gsm;46-47
24664-Gsm;47
24665-Gsm;47
24666-Gsm;47
24667-Gsm;48
24668-Gsm;48
24669-Gsm;48
24670-Gsm;49
24671-Gsm;49
24762-Gsm;73
2481564-Wcdma;67
2481945-Wcdma;67
2485101-Wcdma;65
2485181-Wcdma;66
24853-Wcdma;109
24854-Wcdma;25
2485401-Wcdma;67
24856-Wcdma;37
2488520-Wcdma;70
25151-Gsm;63
25152-Gsm;64
25512-Gsm;58
25531-Gsm;32
25532-Gsm;32
25533-Gsm;32-33
25535-Gsm;30-31
25536-Gsm;30-31
25538-Gsm;30
25539-Gsm;30
25541-Gsm;92
25542-Gsm;92
25543-Gsm;28
