Codigo;Abreviacion;Nombre;Linea;Dias;Apertura Estacion;Apertura Boletaria;Cierre boleteria;Cierre Estacion;Destino 1;Primer Tren D1;Ultimo tren D1;Destino 2;Primer Tren D2;Ultimo tren D2;Expreso
44;LH;Los Héroes;L2;Lunes a Viernes;5:55;6:00;23:00;23:17;La Cisterna;5:57;23:19;Vespucio Norte;5:56;23:23;VERDE/ROJA
4;AN;Santa Ana;L2;Lunes a Viernes;5:55;6:00;23:00;23:19;La Cisterna;5:55;23:18;Vespucio Norte;5:57;23:24;VERDE/ROJA
12;CA;Puente Cal y canto;L2;Lunes a Viernes;6:00;6:00;23:00;23:22;La Cisterna;6:03;23:15;Vespucio Norte;6:00;23:26;VERDE/ROJA
72;PT;Patronato;L2;Lunes a Viernes;6:00;6:00;23:00;23:23;La Cisterna;6:01;23:14;Vespucio Norte;6:01;23:28;ROJA
13;CB;Cerro Blanco;L2;Lunes a Viernes;6:00;6:00;23:00;23:24;La Cisterna;6:00;23:12;Vespucio Norte;6:02;23:29;VERDE
14;CE;Cementerios;L2;Lunes a Viernes;6:00;6:00;23:00;23:26;La Cisterna;6:03;23:11;Vespucio Norte;6:00;23:31;ROJA
25;EI;Einstein;L2;Lunes a Viernes;6:00;6:00;23:00;23:27;La Cisterna;6:02;23:09;Vespucio Norte;6:02;23:32;VERDE
20;DO;Dorsal;L2;Lunes a Viernes;6:00;6:00;23:00;23:29;La Cisterna;6:00;23:08;Vespucio Norte;6:00;23:34;ROJA
100;ZA;Zapadores;L2;Lunes a Viernes;6:00;6:00;23:00;23:30;La Cisterna;6:04;23:06;Vespucio Norte;6:01;23:35;VERDE/ROJA
5;AV;Vespucio Norte;L2;Lunes a Viernes;6:00;6:00;23:00;23:33;La Cisterna;6:02;23:05;Vespucio Norte;-;-;VERDE/ROJA
39;LC;La Cisterna;L2;Sábado;6:30;6:30;23:00;23:33;La Cisterna;-;-;Vespucio Norte;6:35;23:05;VERDE/ROJA
28;EP;El Parrón;L2;Sábado;6:30;6:30;23:00;23:31;La Cisterna;6:45;23:36;Vespucio Norte;6:30;23:07;VERDE
47;LO;Lo Ovalle;L2;Sábado;6:30;6:30;23:00;23:29;La Cisterna;6:43;23:34;Vespucio Norte;6:31;23:08;VERDE/ROJA
16;CN;Ciudad del Niño;L2;Sábado;6:30;6:30;23:00;23:28;La Cisterna;6:42;23:33;Vespucio Norte;6:33;23:10;ROJA
19;DE;Departamental;L2;Sábado;6:30;6:30;23:00;23:26;La Cisterna;6:40;23:31;Vespucio Norte;6:34;23:11;VERDE
53;LV;Lo Vial;L2;Sábado;6:30;6:30;23:00;23:25;La Cisterna;6:39;23:30;Vespucio Norte;6:36;23:12;ROJA
90;SM;San Miguel;L2;Sábado;6:30;6:30;23:00;23:24;La Cisterna;6:37;23:29;Vespucio Norte;6:30;23:14;VERDE
45;LN;El Llano;L2;Sábado;6:30;6:30;23:00;23:22;La Cisterna;6:36;23:27;Vespucio Norte;6:31;23:15;ROJA
29;FRA;Franklin;L2;Sábado;6:30;6:30;23:00;23:21;La Cisterna;6:35;23:26;Vespucio Norte;6:32;23:16;VERDE/ROJA
82;RO;Rondizzoni;L2;Sábado;6:30;6:30;23:00;23:19;La Cisterna;6:33;23:24;Vespucio Norte;6:34;23:18;VERDE
70;PQ;Parque O`Higgins;L2;Sábado;6:30;6:30;23:00;23:18;La Cisterna;6:31;23:23;Vespucio Norte;6:36;23:20;ROJA
94;TO;Toesca;L2;Sábado;6:30;6:30;23:00;23:16;La Cisterna;6:30;23:21;Vespucio Norte;6:30;23:21;VERDE
