id;id_station_measure
1430669-Wcdma;Claro;131
1430688-Wcdma;Claro;129
1430689-Wcdma;Claro;130
1432917-Wcdma;Claro;40
1432918-Wcdma;Claro;40
1433098-Wcdma;Claro;100
1433099-Wcdma;Claro;100
1433227-Wcdma;Claro;39
1433227-Wcdma;WOM;39
1435034-Wcdma;Claro;40
1436745-Wcdma;Claro;39
1437080-Wcdma;Claro;98
1441060-Wcdma;Claro;39
14593-Lte;WOM;78
14594-Lte;Claro;78
14594-Lte;WOM;78
1460353-Wcdma;Claro;119
1460354-Wcdma;Claro;119
1460355-Wcdma;Claro;120
1460359-Wcdma;Claro;120
1460365-Wcdma;Claro;122
1460370-Wcdma;Claro;122
146434-Lte;Claro;28
1464609-Lte;Movistar;76
1464614-Lte;Movistar;76
1464615-Lte;Movistar;76
146689-Lte;Claro;92
146945-Lte;Claro;30
147201-Lte;Claro;31
147202-Lte;Claro;31
147457-Lte;Claro;32
147458-Lte;Claro;32
147674-Wcdma;Claro;105
147713-Lte;Claro;33
147714-Lte;Claro;33
1491231-Lte;Movistar;13
1491743-Lte;Movistar;13
1496106-Wcdma;Claro;119
1496107-Wcdma;Claro;119
1496108-Wcdma;Claro;120
1496125-Wcdma;Claro;120
1496128-Wcdma;Claro;121
1510182-Lte;Movistar;23
1510183-Lte;Movistar;23
15105-Lte;Claro;77
15105-Lte;WOM;77
15106-Lte;Claro;77
15106-Lte;WOM;77
1511514-Wcdma;Claro;1
1511517-Wcdma;Claro;1
1511839-Wcdma;Claro;88
1511839-Wcdma;WOM;88
1511845-Wcdma;WOM;88
1511849-Gsm;Movistar;87
1511849-Wcdma;Claro;87
1511849-Wcdma;WOM;87
1511855-Wcdma;Claro;87
1511855-Wcdma;WOM;87
1516639-Wcdma;Claro;1
1516645-Gsm;Movistar;1
1516645-Wcdma;Claro;1
1516645-Wcdma;WOM;1
1517929-Wcdma;Claro;86
1517929-Wcdma;WOM;86
1517935-Wcdma;Claro;86
1517935-Wcdma;WOM;86
1532447-Lte;Movistar;84
1532448-Lte;Movistar;84
1532960-Lte;Movistar;38
