paradas;servicios
PB1107;B05I-B10I-B12R-B12cI
PB1108;214I-B10I
PB1109;B10I
PB111;107R-116I-272I-B02R-B14R
PB1110;230I-B10I
PB1111;230I-B10I
PB1112;230I-B10I
PB1113;230I-B10I
PB1114;230I-B10I
PB1115;230I-B10I
PB1116;230I-B10I
PB1117;230I-B10I
PB1118;230I-B10I
PB1119;B10I
PB1120;B10I-B22R-B27I
PB1121;B10I-B22R-B27I
PB1122;B10I
PB1123;B10I
PB1124;B10I
PB1125;B10I-B24I
PB1126;B10I-B24I
PB1127;B10I-B24I
PB1128;B10I-B24I
PB1129;B10R
PB113;107R-116I-B05I
PB1130;B10R
PB1132;230I-B10R
PB1133;230I-B10R
PB1134;230I-B10R
PB1135;230I-B10R
PB1136;230I-B10R
PB1137;B10R
PB1138;B10R
PB1139;B10R
PB114;107R-116I-272R-429cR-B05I
PB1142;B11I
PB1143;B11I
PB1144;B11I
PB1146;B11I-B21I
PB1147;B11I
PB1148;B11I
PB1149;B11I
PB115;107R-116I-272R-429cR
PB1150;B11I
PB1151;B11I
PB1152;B11I
PB1153;B11I
PB1154;B11I
PB1155;B11I
PB1156;B11I-B21I-B22R-B27R
PB1157;B11I-B21I
PB1158;B11I-B21I
PB1159;230I-B11I-B21I
PB116;425R-429R-429cR-712I
PB1160;230I-B11R-B12R
PB1161;230I-B11R
PB1162;230I-B11R
PB1163;230I-B11R
PB1164;B11R
PB1165;B11R
PB1167;B11R-B21R
PB1168;B11R-B21R
PB1169;B11R
PB117;425R-429R-429cR-712I
PB1170;B11R
PB1171;B11R
PB1172;B11R
PB1173;B11R
PB1174;B11R
PB1175;B11R
PB1176;B11R
PB1177;B11R
PB1178;B11R
PB1179;B11R
PB118;425R-429R-429cR-712I
PB1180;B11R-B21R
PB1181;B11R
PB1182;B11R
PB1183;B11R
PB1184;B11R
PB1186;712R-B12I-B22I
PB1187;B12I
PB1188;B12I
PB1189;B12I
PB119;425R-429R-429cR-435R-712I
PB1190;B12I
PB1191;B12I
PB1192;B12I
PB1193;B05R-B10R-B12I-B12cI
PB1194;B05R-B12I-B12cI
PB1195;B05R-B12I-B12cI
PB1196;B05R-B12I-B12cI
PB1197;B05R-B12I-B12cI
PB1198;313eR-B12I-B12cI
PB1199;B12I-B12cI
PB120;425R-429R-429cR-435R-712I
PB1200;B12I-B12cI
PB1201;B12I-B12cI
PB1202;B12I-B12cI
PB1203;B12I-B12cI
PB1204;B12I-B12cI
PB1205;313eR-B12I-B12cI
PB1206;B12I-B12cI
PB1207;B12I-B12cI
PB1208;B12R-B12cI
PB1209;B12R-B12cI
PB121;117R-425R-429R-429cR-435R-712I-B05R
PB1210;B12R-B12cI
PB1211;B12R-B12cI
PB1212;B12R-B12cI
PB1213;B12R-B12cI
PB1214;B12R-B12cI
PB1215;313eI-B12R-B12cI
PB1216;B05I-B12R-B12cI
PB1217;B05I-B12R-B12cI
PB1218;B05I-B12R-B12cI
PB1219;B05I-B12R-B12cI
PB122;117R-425R-429R-429cR-712I-B05R
PB1220;B12R-B19R
PB1221;B12R-B19R
PB1222;B12R-B19R
PB1223;B21R
PB1224;B12R
PB1225;B12R
PB1226;B12R
PB1227;B12R-B19I-B22R
PB1228;B18R-B19I-B27I
PB1229;B13I-B18R-B22I-B25I
PB123;117R-425R-429R-429cR-712I-B05R
PB1230;B13I-B18R-B22I-B25I
PB1231;B13I-B18R-B22I-B25I
PB1232;B18R-B22I
PB1233;B18R-B22I
PB1234;B18R-B19R-B22I
PB1235;B18R-B19R-B22I
PB1236;B18R-B19R-B22I
PB1237;307I-425R-428I-428eI-B06I-B21I
PB124;425I-429I-429cI-435I-B05I-B13R-B16I-B18I-B18eI-B25R
PB1240;315cR-315eR
PB1241;315cR-315eR
PB1242;313eI-315cR-315eR
PB1243;B06I
PB1244;B06I
PB1245;B06I
PB1246;B06R
PB1247;B06R
PB1248;B06R
PB1249;B06R
PB125;425I-429I-429cI-435I-B05I-B13R-B16I-B18I-B18eI-B25R
PB1250;307eI-315cI-315eI-425I
PB1251;315cI-315eI
PB1252;315cI-315eI
PB1253;315cI-315eI
PB1254;315cI-315eI
PB1256;B13R
PB1257;B13R
PB1258;B05I-B19I
PB1259;B14I
PB126;425I-429I-429cI-435I-712R
PB1260;B14I
PB1261;B14I
PB1262;B14I-B15I
PB1263;B14I-B15I
PB1264;B14I
PB1265;B14I-B21R
PB1266;B14I
PB1267;B14I
PB1268;B14I
PB1269;B14I-B21R
PB127;712R-B05I
PB1270;B14I-B21R
PB1271;B14I-B21R
PB1272;B14I-B21R
PB1273;B14I-B21R
PB1274;B14I-B21R-B25I
PB1275;B14I-B21R-B25I
PB1276;214R-230I-B02I-B03I-B14I-B23I-B27I
PB1277;B14R-B21I-B25R
PB1278;B14R-B21I-B25R
PB1279;B14R-B21I
PB128;425I-429I-429cI-435I-712R
PB1280;B14R-B21I
PB1281;B14R-B21I
PB1282;B14R-B21I
PB1283;B14R-B21I
PB1284;B14R
PB1285;B14R
PB1286;B14R-B15R
PB1287;B14R-B15R
PB1288;B14R-B15R
PB1289;B14R
PB129;425I-429I-429cI-712R
PB1292;B15I
PB1293;B15I
PB1294;B15I-B17R
PB1295;B15I-B17R
PB1296;B15I-B17R
PB1297;B15I-B17R
PB1298;B15I-B17R
PB1299;B15R
PB130;425I-429I-429cI-712R
PB1300;B15R
PB1301;B15R
PB1302;B15R-B17I
PB1303;B15R-B17I
PB1304;B15R-B17I
PB1305;B15R
PB1306;B15R
PB1307;B15R
PB1308;B15R
PB1309;B15R
PB131;425I-429I-429cI-712R
PB1311;B17I
PB1312;B17I
PB1314;B17I-B23I
PB1315;B17I-B23I
PB1316;301I-B17I-B23I
PB1317;301I-B17I
PB1318;301I-B17I
PB1319;B17I
PB132;425I-429I-429cI-712R
PB1320;B17I
PB1321;B17I
PB1323;B02I-B17R
PB1324;B02I-B17R
PB1325;B02I
PB1326;B17R
PB1327;B17R
PB1328;B17R
PB1329;B17R
PB133;116I-117I-117cI-B02I-B05I
PB1330;B17R
PB1331;B17R
PB1332;B17R
PB1333;B17R
PB1334;301R-B17R
