stop_code;stop_name;stop_lat;stop_lon
PE532;Ecuador;-33.53601203;-70.58245102
PE533;Panam¡;-33.53611812;-70.57979305
PE534;Avenida M…xico;-33.53608754;-70.57724028
PE535;Honduras;-33.5358782;-70.57526579
PE536;Avenida La Florida;-33.53576185;-70.57377759
PE537;La Palma Chilena;-33.53560505;-70.57050104
PE538;Alicahue;-33.53550513;-70.56699938
PE539;Poniente;-33.53540905;-70.5631855
PE54;Las Taguas;-33.51491517;-70.56352732
PE540;Alc¡n;-33.5327967;-70.56366613
PE541;Pasaje Lorenzo Varoli;-33.52989953;-70.56456156
PE542;Ger”nimo De Alderete;-33.52723447;-70.56564416
PE543;Pasaje Sim”n BolÕvar;-33.52675292;-70.56307277
PE544;Pasaje JardÕn Alto;-33.52649183;-70.56089301
PE545;Pasaje Vicente Huidobro;-33.52624113;-70.55788433
PE546;Pasaje JardÕn Alto;-33.52459021;-70.56079423
PE547;Pasaje 21 De Enero;-33.52668899;-70.56313623
PE548;AraucanÕa;-33.52697395;-70.56556409
PE549;Pasaje Pumahue;-33.53001634;-70.56459596
PE55;Volc¡n Lastarria;-33.51471761;-70.56560164
PE550;Pasaje Car⁄n;-33.53300366;-70.56370216
PE551;Manque;-33.53533597;-70.56325957
PE552;La Llanura;-33.53541824;-70.56673936
PE553;Santa Delia;-33.53550656;-70.57044541
PE554;Avenida La Florida;-33.53556392;-70.57303095
PE555;Canad¡;-33.53582355;-70.57530787
PE556;Avenida M…xico;-33.53595915;-70.57669951
PE557;Panam¡;-33.5360691;-70.57939371
PE558;Ecuador;-33.53596398;-70.58197631
PE559;Colombia;-33.53585826;-70.58460197
PE560;Per⁄;-33.53576122;-70.58724932
PE561;Estados Unidos;-33.53565539;-70.58987496
PE562;Avenida Vicu—a Mackenna;-33.53552203;-70.59253239
PE563;San Pedro;-33.55550567;-70.5763868
PE564;San Jos… De La Estrella;-33.5531781;-70.57716311
PE565;Jos… Miguel Carrera;-33.5502954;-70.57903865
PE566;Per⁄;-33.54996873;-70.58272701
PE567;Santa Amalia;-33.54372737;-70.58278551
PE568;RÕo Danubio;-33.54145323;-70.58431639
PE569;Enrique Olivares;-33.53989617;-70.58548336
PE57;Volc¡n Hornopir…n;-33.51400437;-70.56922773
PE570;Rojas Magallanes;-33.53597678;-70.58731787
PE571;Santa Julia;-33.53291097;-70.58869403
PE572;Perpetua Freire;-33.53034213;-70.58999304
PE573;Santa Cruz;-33.5302035;-70.59235948
PE575;Vicente Vald…s;-33.52674177;-70.59646309
PE576;Rojas Magallanes;-33.53613694;-70.58467167
PE577;Santa Julia;-33.53284423;-70.58616223
